iteration,success,runtime,trajectory_length,trajectory_time,avg_velocity,num_states_in_tree,num_RRT_iterations,ctrl_effort_max,ctrl_effort_mean,ctrl_effort_std
1,0,60.12923979759216,-1,0,-1,-1,688,-1,-1,-1
2,1,4.571041107177734,12.6357155,4.12,4.3096986,29,38,9.950643,0.68485993,0.6393221
3,1,30.94120955467224,12.6172905,4.26,4.1854715,160,435,9.422362,0.5904586,0.5463349
4,0,60.18346428871155,-1,0,-1,-1,718,-1,-1,-1
5,1,21.082826375961304,12.7896185,4.16,4.2948895,115,206,9.712224,0.7354269,0.66390425
6,1,21.13357186317444,12.961212,4.22,4.3057184,99,374,9.97079,0.66709507,0.62213725
7,1,30.592010021209717,13.070052,4.24,4.328547,149,394,9.987841,0.6582187,0.62953466
8,1,22.735145568847656,13.146808,4.32,4.27454,93,734,9.858803,0.62970275,0.599065
9,1,1.718601942062378,12.638239,4.12,4.3040633,11,18,9.956075,0.70604706,0.6461488
10,1,13.74528169631958,12.734821,4.14,4.2886167,78,184,9.900521,0.65243423,0.6345005
11,1,28.623133182525635,12.783311,4.3,4.1719565,156,319,9.504514,0.66568375,0.5870301
12,1,4.068948745727539,12.748989,4.22,4.244916,25,48,9.842153,0.6759147,0.61895853
13,1,15.345765352249146,12.846006,4.26,4.229403,85,180,9.733977,0.6374759,0.6010633
14,1,1.9521656036376953,12.90925,4.22,4.2975097,14,17,9.873282,0.67137766,0.6340599
15,1,29.540773630142212,13.07996,4.24,4.3205724,154,363,9.86275,0.6417446,0.62705517
