iteration,success,runtime,trajectory_length,trajectory_time,avg_velocity,num_states_in_tree,num_RRT_iterations,ctrl_effort_max,ctrl_effort_mean,ctrl_effort_std
1,0,60.00341820716858,-1,0,-1,-1,1135,-1,-1,-1
2,0,60.14812731742859,-1,0,-1,-1,941,-1,-1,-1
3,0,60.23302602767944,-1,0,-1,-1,1898,-1,-1,-1
4,0,60.03413200378418,-1,0,-1,-1,927,-1,-1,-1
5,0,60.07019567489624,-1,0,-1,-1,985,-1,-1,-1
6,0,60.007776498794556,-1,0,-1,-1,1492,-1,-1,-1
7,0,60.037925720214844,-1,0,-1,-1,2053,-1,-1,-1
8,0,60.00059151649475,-1,0,-1,-1,1557,-1,-1,-1
9,0,60.11620736122131,-1,0,-1,-1,1182,-1,-1,-1
10,0,60.01985216140747,-1,0,-1,-1,1474,-1,-1,-1
11,1,40.86793851852417,22.168198,6.640000000000001,4.462804,187,654,9.790708,0.73386997,0.6070849
12,0,60.04896020889282,-1,0,-1,-1,983,-1,-1,-1
13,0,60.23280692100525,-1,0,-1,-1,1738,-1,-1,-1
14,0,60.09757041931152,-1,0,-1,-1,1418,-1,-1,-1
15,0,60.281418800354004,-1,0,-1,-1,1542,-1,-1,-1
