iteration,success,runtime,trajectory_length,trajectory_time,avg_velocity,num_states_in_tree,num_RRT_iterations,ctrl_effort_max,ctrl_effort_mean,ctrl_effort_std
1,0,60.161763191223145,-1,0,-1,-1,1438,-1,-1,-1
2,1,13.627947330474854,8.793226,3.14,3.2346241,57,375,9.959573,0.6600516,0.6425142
3,1,7.819477319717407,8.787661,3.14,3.232803,34,138,9.937718,0.6936749,0.6480692
4,1,9.040525197982788,8.797782,3.14,3.237494,38,207,10.151978,0.6909428,0.6562623
5,0,60.00876259803772,-1,0,-1,-1,1219,-1,-1,-1
6,0,60.00730109214783,-1,0,-1,-1,1412,-1,-1,-1
7,1,8.823932409286499,8.763237,3.14,3.2233973,37,187,9.898425,0.69450426,0.63893664
8,0,60.013208627700806,-1,0,-1,-1,1384,-1,-1,-1
9,0,60.03272247314453,-1,0,-1,-1,1501,-1,-1,-1
10,1,30.825686931610107,8.776229,3.14,3.2276764,113,790,9.882611,0.67316264,0.6418636
11,1,8.689110279083252,8.774161,3.14,3.228336,41,202,9.622753,0.6986224,0.6466053
12,1,2.4851160049438477,8.850485,3.16,3.2326374,13,39,10.070807,0.7026047,0.6565443
13,1,3.785850763320923,8.8099,3.14,3.2413452,17,79,9.761279,0.6924481,0.6639189
14,1,34.74648404121399,8.851555,3.16,3.2324502,140,836,9.841384,0.688551,0.6522335
15,1,8.321810483932495,8.855726,3.16,3.2338538,36,186,10.049503,0.7201792,0.6569071
