iteration,success,runtime,trajectory_length,trajectory_time,avg_velocity,num_states_in_tree,num_RRT_iterations,ctrl_effort_max,ctrl_effort_mean,ctrl_effort_std
1,1,13.681872606277466,14.730709,4.72,3.7625787,68,241,10.023315,0.67768747,0.58556926
2,1,6.671860933303833,10.716342,3.68,3.4861364,30,161,9.977536,0.7268983,0.6058642
3,1,9.289876461029053,10.918036,3.72,3.5097528,34,269,9.911136,0.6589772,0.61071986
4,1,45.98730659484863,14.84942,4.8,3.7441092,204,867,9.96716,0.6193922,0.5812036
5,1,26.55500078201294,10.68618,3.68,3.4777856,83,861,9.933217,0.5733306,0.5927987
6,1,1.9179151058197021,11.422328,3.94,3.4900842,11,40,10.015489,0.5777218,0.5222091
7,1,21.90186309814453,9.992599,3.44,3.440777,93,472,10.129491,0.6579365,0.6344517
8,1,2.851590633392334,10.450111,3.58,3.4832811,9,80,9.807888,0.67488104,0.60486203
9,1,13.27676248550415,10.401175,3.6,3.4469411,47,412,9.745942,0.68481934,0.5944333
10,1,10.00932264328003,10.938118,3.72,3.5268946,27,305,9.742696,0.67845887,0.6227026
11,1,18.381675958633423,9.955133,3.54,3.346406,61,648,9.9376745,0.6978033,0.6126056
12,1,7.25566029548645,10.355823,3.58,3.4354343,26,205,9.975085,0.721737,0.629255
13,1,6.070965528488159,10.169693,3.46,3.4798188,20,205,10.006574,0.694529,0.6506477
14,1,1.7354540824890137,11.651766,3.9,3.56527,8,45,9.775702,0.6805477,0.58668554
15,1,1.9012506008148193,10.713172,3.64,3.5031095,10,32,9.982146,0.70811725,0.636147
